timestamp,kwh
2024-01-01 00:00,30
2024-01-01 01:00,28
2024-01-01 02:00,27
2024-01-01 03:00,25
2024-01-01 04:00,24
2024-01-01 05:00,26
2024-01-01 06:00,29
2024-01-01 07:00,32
2024-01-01 08:00,35
2024-01-01 09:00,38
2024-01-01 10:00,40
2024-01-01 11:00,42
2024-01-01 12:00,39
2024-01-01 13:00,37
2024-01-01 14:00,36
2024-01-01 15:00,38
2024-01-01 16:00,41
2024-01-01 17:00,43
2024-01-01 18:00,40
2024-01-01 19:00,37
2024-01-01 20:00,34
2024-01-01 21:00,32
2024-01-01 22:00,31
2024-01-01 23:00,30
2024-01-02 00:00,29
2024-01-02 01:00,27
2024-01-02 02:00,26
2024-01-02 03:00,24
2024-01-02 04:00,23
2024-01-02 05:00,25
2024-01-02 06:00,28
2024-01-02 07:00,30
2024-01-02 08:00,33
2024-01-02 09:00,36
2024-01-02 10:00,38
2024-01-02 11:00,40
2024-01-02 12:00,37
2024-01-02 13:00,35
2024-01-02 14:00,34
2024-01-02 15:00,35
2024-01-02 16:00,37
2024-01-02 17:00,39
2024-01-02 18:00,41
2024-01-02 19:00,36
2024-01-02 20:00,33
2024-01-02 21:00,31
2024-01-02 22:00,30
2024-01-02 23:00,29
